date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_elo,away_elo,elo_diff,is_neutral
2010-01-02,Iran,North Korea,1,0,Friendly,Doha,Qatar,True,H,1500.0,1500.0,0.0,1
2010-01-02,Qatar,Mali,0,0,Friendly,Doha,Qatar,False,D,1500.0,1500.0,0.0,0
2010-01-02,Syria,Zimbabwe,6,0,Friendly,Kuala Lumpur,Malaysia,True,H,1500.0,1500.0,0.0,1
2010-01-02,Yemen,Tajikistan,0,1,Friendly,Sana'a,Yemen,False,A,1500.0,1500.0,0.0,0
2010-01-03,Angola,Gambia,1,1,Friendly,Vila Real de Santo António,Portugal,True,D,1500.0,1500.0,0.0,1
2010-01-04,Egypt,Mali,1,0,Friendly,Dubai,United Arab Emirates,True,H,1500.0,1500.0,0.0,1
2010-01-04,Tanzania,Ivory Coast,0,1,Friendly,Dar es Salaam,Tanzania,False,A,1500.0,1500.0,0.0,0
2010-01-05,Ghana,Malawi,0,0,Friendly,Manzini,Swaziland,True,D,1500.0,1500.0,0.0,1
2010-01-06,Yemen,Japan,2,3,AFC Asian Cup qualification,Sana'a,Yemen,False,A,1484.0,1500.0,-16.0,0
2010-01-06,United Arab Emirates,Malaysia,1,0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False,H,1500.0,1500.0,0.0,0
2010-01-06,Thailand,Jordan,0,0,AFC Asian Cup qualification,Bangkok,Thailand,False,D,1500.0,1500.0,0.0,0
2010-01-06,Singapore,Iran,1,3,AFC Asian Cup qualification,Singapore,Singapore,False,A,1500.0,1516.0,-16.0,0
2010-01-06,Kuwait,Australia,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,False,D,1500.0,1500.0,0.0,0
2010-01-06,Lebanon,Vietnam,1,1,AFC Asian Cup qualification,Sidon,Lebanon,False,D,1500.0,1500.0,0.0,0
2010-01-06,Gabon,Mozambique,2,0,Friendly,Bloemfontein,South Africa,True,H,1500.0,1500.0,0.0,1
2010-01-06,China PR,Syria,0,0,AFC Asian Cup qualification,Hangzhou,China PR,False,D,1500.0,1516.0,-16.0,0
2010-01-06,Benin,Libya,1,0,Friendly,Cotonou,Benin,False,H,1500.0,1500.0,0.0,0
2010-01-06,Bahrain,Hong Kong,4,0,AFC Asian Cup qualification,Riffa,Bahrain,False,H,1500.0,1500.0,0.0,0
2010-01-06,Indonesia,Oman,1,2,AFC Asian Cup qualification,Jakarta,Indonesia,False,A,1500.0,1500.0,0.0,0
2010-01-07,Rwanda,Ivory Coast,0,2,Friendly,Dar es Salaam,Tanzania,True,A,1500.0,1516.0,-16.0,1
2010-01-09,Kenya,Cameroon,1,3,Friendly,Nairobi,Kenya,False,A,1500.0,1500.0,0.0,0
2010-01-09,Tunisia,Gambia,1,2,Friendly,Radès,Tunisia,False,A,1500.0,1500.0,0.0,0
2010-01-09,Zambia,South Korea,4,2,Friendly,Johannesburg,South Africa,True,H,1500.0,1500.0,0.0,1
2010-01-10,Angola,Mali,4,4,African Cup of Nations,Luanda,Angola,False,D,1500.0,1484.0,16.0,0
2010-01-11,Ivory Coast,Burkina Faso,0,0,African Cup of Nations,Cabinda,Angola,True,D,1531.263693206478,1500.0,31.26369320647791,1
2010-01-11,Malawi,Algeria,3,0,African Cup of Nations,Luanda,Angola,True,H,1500.0,1500.0,0.0,1
2010-01-12,Mozambique,Benin,2,2,African Cup of Nations,Benguela,Angola,True,D,1484.0,1516.0,-32.0,1
2010-01-12,Egypt,Nigeria,3,1,African Cup of Nations,Benguela,Angola,True,H,1516.0,1500.0,16.0,1
2010-01-13,Zambia,Tunisia,1,1,African Cup of Nations,Lubango,Angola,True,D,1516.0,1484.0,32.0,1
2010-01-13,Cameroon,Gabon,0,1,African Cup of Nations,Lubango,Angola,True,A,1516.0,1516.0,0.0,1
2010-01-14,Angola,Malawi,2,0,African Cup of Nations,Luanda,Angola,False,H,1499.263693206478,1516.0,-16.73630679352209,0
2010-01-14,Mali,Algeria,0,1,African Cup of Nations,Luanda,Angola,True,A,1484.736306793522,1484.0,0.7363067935220897,1
2010-01-15,Ivory Coast,Ghana,3,1,African Cup of Nations,Cabinda,Angola,True,H,1529.8278203282016,1500.0,29.827820328201597,1
2010-01-15,Yemen,Kenya,3,1,Friendly,Sana'a,Yemen,False,H,1468.736306793522,1484.0,-15.26369320647791,0
2010-01-16,Egypt,Mozambique,2,0,African Cup of Nations,Benguela,Angola,True,H,1531.263693206478,1485.4695015289756,45.79419167750234,1
2010-01-16,Nigeria,Benin,1,0,African Cup of Nations,Benguela,Angola,True,H,1484.736306793522,1514.5304984710244,-29.79419167750234,1
2010-01-17,Cameroon,Zambia,3,2,African Cup of Nations,Lubango,Angola,True,H,1500.0,1514.5304984710244,-14.53049847102443,1
2010-01-17,Gabon,Tunisia,0,0,African Cup of Nations,Lubango,Angola,True,D,1532.0,1485.4695015289756,46.53049847102443,1
2010-01-17,Thailand,Singapore,1,0,King's Cup,Nakhon Ratchasima,Thailand,False,H,1500.0,1484.736306793522,15.26369320647791,0
2010-01-17,Vietnam,China PR,1,2,AFC Asian Cup qualification,Hanoi,Vietnam,False,A,1500.0,1500.736306793522,-0.7363067935220897,0
2010-01-18,Angola,Algeria,0,0,African Cup of Nations,Luanda,Angola,False,D,1516.0338330211207,1500.0339081301693,15.999924890951434,0
2010-01-18,Finland,South Korea,0,2,Friendly,Málaga,Spain,True,A,1500.0,1484.0,16.0,1
2010-01-18,Mali,Malawi,3,1,African Cup of Nations,Cabinda,Angola,True,H,1468.7023986633528,1499.2298601853572,-30.527461522004387,1
2010-01-19,Burkina Faso,Ghana,0,1,African Cup of Nations,Luanda,Angola,True,A,1501.4358728782763,1485.3702570681064,16.065615810169902,1
2010-01-20,Chile,Panama,2,1,Friendly,Coquimbo,Chile,False,H,1500.0,1500.0,0.0,0
2010-01-20,Egypt,Benin,2,0,African Cup of Nations,Benguela,Angola,True,H,1545.1669210388343,1497.1617787137973,48.00514232503701,1
2010-01-20,Nigeria,Mozambique,3,0,African Cup of Nations,Lubango,Angola,True,H,1502.1050265507492,1471.5662736966192,30.538752854130053,1
2010-01-20,Oman,Sweden,0,1,Friendly,Muscat,Oman,False,A,1516.0,1500.0,16.0,0
2010-01-20,Thailand,Poland,1,3,King's Cup,Nakhon Ratchasima,Thailand,False,A,1515.2975328274754,1500.0,15.29753282747538,0
2010-01-20,Yemen,Bahrain,3,0,AFC Asian Cup qualification,Sana'a,Yemen,False,H,1485.4387739660467,1516.0,-30.56122603395329,0
2010-01-21,Cameroon,Tunisia,2,2,African Cup of Nations,Lubango,Angola,True,D,1516.6687643190155,1487.5995902477025,29.069174071313,1
2010-01-21,Gabon,Zambia,1,2,African Cup of Nations,Benguela,Angola,True,A,1529.869911281273,1497.861734152009,32.00817712926414,1
2010-01-22,Latvia,South Korea,0,1,Friendly,Málaga,Spain,True,A,1500.0,1500.736306793522,-0.7363067935220897,1
2010-01-23,Poland,Singapore,6,1,King's Cup,Nakhon Ratchasima,Thailand,True,H,1516.7040225341211,1469.4387739660467,47.26524856807441,1
2010-01-23,Syria,Sweden,1,1,Friendly,Damascus,Syria,False,D,1515.263693206478,1516.736306793522,-1.4726135870441794,0
2010-01-23,United States,Honduras,1,3,Friendly,Carson,United States,False,A,1500.0,1500.0,0.0,0
2010-01-24,Angola,Ghana,0,1,African Cup of Nations,Luanda,Angola,False,A,1515.297529679173,1502.1095791558232,13.187950523349855,0
2010-01-24,Ivory Coast,Algeria,2,3,African Cup of Nations,Cabinda,Angola,True,A,1544.4575632600952,1500.770211472117,43.68735178797829,1
2010-01-25,Zambia,Nigeria,0,0,African Cup of Nations,Lubango,Angola,True,D,1515.3316090744122,1516.702275694974,-1.3706666205619058,1
2010-01-25,Egypt,Cameroon,3,1,African Cup of Nations,Benguela,Angola,True,H,1558.9701641493173,1515.3331943922904,43.63696975702692,1
2010-01-26,Argentina,Costa Rica,3,2,Friendly,San Juan,Argentina,False,H,1500.0,1500.0,0.0,0
2010-01-27,South Africa,Zimbabwe,3,0,Friendly,Durban,South Africa,False,H,1500.0,1484.0,16.0,0
2010-01-28,Algeria,Egypt,0,4,African Cup of Nations,Benguela,Angola,True,A,1518.7715516581782,1572.971107881548,-54.19955622336988,1
2010-01-28,Ghana,Nigeria,1,0,African Cup of Nations,Luanda,Angola,True,H,1518.7166152087268,1516.6391544918824,2.077460716844371,1
2010-01-30,Nigeria,Algeria,1,0,African Cup of Nations,Benguela,Angola,True,H,1500.7348239532741,1505.2474815212995,-4.512657568025361,1
2010-01-31,Ghana,Egypt,0,1,African Cup of Nations,Luanda,Angola,True,A,1534.620945747335,1586.4951780184267,-51.874232271091614,1
2010-01-31,Jamaica,Canada,1,0,Friendly,Kingston,Jamaica,False,H,1500.0,1500.0,0.0,0
2010-02-02,Japan,Venezuela,0,0,Friendly,Ōita,Japan,False,D,1515.263693206478,1500.0,15.26369320647791,0
2010-02-06,Japan,China PR,0,0,EAFF Championship,Tokyo,Japan,False,D,1514.5612260339533,1516.7023986633528,-2.1411726293995343,0
2010-02-07,South Korea,Hong Kong,5,0,EAFF Championship,Tokyo,Japan,True,H,1516.7023986633528,1484.0,32.702398663352824,1
2010-02-10,China PR,South Korea,3,0,EAFF Championship,Tokyo,Japan,True,H,1516.6037952681083,1531.200829331975,-14.597034063866658,1
2010-02-10,Argentina,Jamaica,2,1,Friendly,Mar del Plata,Argentina,False,H,1516.0,1516.0,0.0,0
2010-02-11,Japan,Hong Kong,3,0,EAFF Championship,Tokyo,Japan,False,H,1514.6598294291978,1469.5015693313778,45.15826009781995,0
2010-02-14,Hong Kong,China PR,0,2,EAFF Championship,Tokyo,Japan,True,A,1455.5695518368238,1533.2756182867806,-77.70606644995678,1
2010-02-14,Japan,South Korea,1,3,EAFF Championship,Tokyo,Japan,False,A,1528.5918469237517,1514.5290063133027,14.06284061044903,0
2010-02-16,Sri Lanka,Myanmar,0,4,AFC Challenge Cup,Colombo,Sri Lanka,False,A,1500.0,1500.0,0.0,0
2010-02-16,Tajikistan,Bangladesh,1,2,AFC Challenge Cup,Colombo,Sri Lanka,True,A,1516.0,1500.0,16.0,1
2010-02-17,North Korea,Turkmenistan,1,1,AFC Challenge Cup,Colombo,Sri Lanka,True,D,1484.0,1500.0,-16.0,1
2010-02-18,Bangladesh,Myanmar,1,2,AFC Challenge Cup,Colombo,Sri Lanka,True,A,1516.736306793522,1516.0,0.7363067935220897,1
2010-02-18,Sri Lanka,Tajikistan,1,3,AFC Challenge Cup,Colombo,Sri Lanka,False,A,1484.0,1499.263693206478,-15.26369320647791,0
2010-02-19,Kuwait,Syria,1,1,Friendly,Al Ain,United Arab Emirates,True,D,1500.0,1515.3315091622376,-15.33150916223758,1
2010-02-19,Kyrgyzstan,North Korea,0,4,AFC Challenge Cup,Colombo,Sri Lanka,True,A,1500.0,1484.736306793522,15.26369320647791,1
2010-02-20,Tajikistan,Myanmar,3,0,AFC Challenge Cup,Colombo,Sri Lanka,True,H,1514.5612260339533,1532.0339081301693,-17.472682096215976,1
2010-02-20,Sri Lanka,Bangladesh,3,0,AFC Challenge Cup,Colombo,Sri Lanka,False,H,1468.7024671725246,1500.7023986633528,-31.999931490828203,0
2010-02-21,Turkmenistan,Kyrgyzstan,1,0,AFC Challenge Cup,Colombo,Sri Lanka,True,H,1499.263693206478,1483.2975328274754,15.966160379002531,1
2010-02-24,Tajikistan,Turkmenistan,0,2,AFC Challenge Cup,Colombo,Sri Lanka,True,A,1531.3651951149536,1514.5289414917934,16.836253623160246,1
2010-02-24,United States,El Salvador,2,1,Friendly,Tampa,United States,False,H,1484.0,1500.0,-16.0,0
2010-02-24,North Korea,Myanmar,5,0,AFC Challenge Cup,Colombo,Sri Lanka,True,H,1501.4387739660467,1515.229939049169,-13.791165083122223,1
2010-02-24,Mexico,Bolivia,5,0,Friendly,San Francisco,United States,True,H,1500.0,1500.0,0.0,1
2010-02-25,Jordan,Azerbaijan,0,2,Friendly,Amman,Jordan,False,A,1500.0,1500.0,0.0,0
2010-02-25,Kuwait,Bahrain,4,1,Friendly,Al Ain,United Arab Emirates,True,H,1500.705584166044,1498.5962221767109,2.109361989333138,1
2010-02-25,Turkmenistan,North Korea,1,1,AFC Challenge Cup,Colombo,Sri Lanka,True,D,1531.3036733004794,1518.0735472352098,13.230126065269587,1
2010-02-27,Malaysia,Yemen,1,0,Friendly,Kuala Lumpur,Malaysia,False,H,1484.0,1502.8425517893359,-18.842551789335857,0
2010-02-27,Tajikistan,Myanmar,1,0,AFC Challenge Cup,Colombo,Sri Lanka,True,H,1514.5904633062676,1498.5951657800058,15.995297526261766,1
2010-03-02,Guadeloupe,Saint Kitts and Nevis,2,1,Friendly,Vieux-Habitants,Guadeloupe,False,H,1500.0,1500.0,0.0,0
2010-03-02,Republic of Ireland,Brazil,0,2,Friendly,London,England,True,A,1500.0,1500.0,0.0,1
2010-03-03,Portugal,China PR,2,0,Friendly,Coimbra,Portugal,False,H,1500.0,1545.7556193711212,-45.755619371121156,0
2010-03-03,Poland,Bulgaria,2,0,Friendly,Warsaw,Poland,False,H,1530.5407064366789,1500.0,30.540706436678875,0
2010-03-03,Oman,Kuwait,0,0,AFC Asian Cup qualification,Muscat,Oman,False,D,1499.263693206478,1516.6084456500976,-17.344752443619655,0
2010-03-03,Nigeria,DR Congo,5,2,Friendly,Abuja,Nigeria,False,H,1516.9426278287904,1500.0,16.942627828790364,0
2010-03-03,Malta,Finland,1,2,Friendly,Attard,Malta,False,A,1500.0,1483.263693206478,16.73630679352209,0
2010-03-03,Mozambique,Botswana,0,1,Friendly,Maputo,Mozambique,False,A,1456.9690245523943,1500.0,-43.03097544760567,0
2010-03-03,Mexico,New Zealand,2,0,Friendly,Pasadena,United States,True,H,1516.0,1500.0,16.0,1
2010-03-03,Romania,Israel,0,2,Friendly,Timişoara,Romania,False,A,1500.0,1500.0,0.0,0
2010-03-03,Netherlands,United States,2,1,Friendly,Amsterdam,Netherlands,False,H,1500.0,1500.736306793522,-0.7363067935220897,0
2010-03-03,Scotland,Czech Republic,1,0,Friendly,Glasgow,Scotland,False,H,1500.0,1500.0,0.0,0
2010-03-03,Luxembourg,Azerbaijan,1,2,Friendly,Luxembourg,Luxembourg,False,A,1500.0,1516.0,-16.0,0
2010-03-03,Slovenia,Qatar,4,1,Friendly,Maribor,Slovenia,False,H,1500.0,1500.0,0.0,0
2010-03-03,South Africa,Namibia,1,1,Friendly,Durban,South Africa,False,D,1515.263693206478,1500.0,15.26369320647791,0
2010-03-03,Switzerland,Uruguay,1,3,Friendly,St. Gallen,Switzerland,False,A,1500.0,1500.0,0.0,0
2010-03-03,Syria,Lebanon,4,0,AFC Asian Cup qualification,Damascus,Syria,False,H,1514.6259249961936,1500.0,14.62592499619359,0
2010-03-03,Tanzania,Uganda,2,3,Friendly,Mwanza,Tanzania,False,A,1484.0,1500.0,-16.0,0
2010-03-03,Turkey,Honduras,2,0,Friendly,Istanbul,Turkey,False,H,1500.0,1516.0,-16.0,0
2010-03-03,Uzbekistan,United Arab Emirates,0,1,AFC Asian Cup qualification,Tashkent,Uzbekistan,False,A,1500.0,1516.0,-16.0,0
2010-03-03,Venezuela,Panama,1,2,Friendly,Barquisimeto,Venezuela,False,A,1500.7024671725246,1484.0,16.70246717252462,0
2010-03-03,Wales,Sweden,0,1,Friendly,Swansea,Wales,False,A,1500.0,1516.6684908377624,-16.66849083776242,0
2010-03-03,Zimbabwe,Malawi,2,1,Friendly,Harare,Zimbabwe,False,H,1468.736306793522,1481.8276253193167,-13.091318525794577,0
